Dataset,Model,Category,Count,Precision_%,Recall_%,F1_Score_%
KDDTest+,RANDOMFOREST,DoS,7460,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,Normal,9711,65.33,97.25,78.16
KDDTest+,RANDOMFOREST,Probe,2421,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,R2L,2885,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,U2R,67,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,DoS,4344,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,Normal,2152,27.33,87.59,41.66
KDDTest-21,RANDOMFOREST,Probe,2402,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,R2L,2885,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,U2R,67,0.0,0.0,0.0
KDDTest+,SVM,DoS,7460,0.0,0.0,0.0
KDDTest+,SVM,Normal,9711,65.94,91.98,76.81
KDDTest+,SVM,Probe,2421,0.0,0.0,0.0
KDDTest+,SVM,R2L,2885,0.0,0.0,0.0
KDDTest+,SVM,U2R,67,0.0,0.0,0.0
KDDTest-21,SVM,DoS,4344,0.0,0.0,0.0
KDDTest-21,SVM,Normal,2152,23.35,65.29,34.39
KDDTest-21,SVM,Probe,2402,0.0,0.0,0.0
KDDTest-21,SVM,R2L,2885,0.0,0.0,0.0
KDDTest-21,SVM,U2R,67,0.0,0.0,0.0
KDDTest+,XGBOOST,DoS,7460,0.0,0.0,0.0
KDDTest+,XGBOOST,Normal,9711,70.68,97.11,81.82
KDDTest+,XGBOOST,Probe,2421,0.0,0.0,0.0
KDDTest+,XGBOOST,R2L,2885,0.0,0.0,0.0
KDDTest+,XGBOOST,U2R,67,0.0,0.0,0.0
KDDTest-21,XGBOOST,DoS,4344,0.0,0.0,0.0
KDDTest-21,XGBOOST,Normal,2152,32.38,87.04,47.2
KDDTest-21,XGBOOST,Probe,2402,0.0,0.0,0.0
KDDTest-21,XGBOOST,R2L,2885,0.0,0.0,0.0
KDDTest-21,XGBOOST,U2R,67,0.0,0.0,0.0
