Dataset,Model,Actual_Class,Predicted_Class,Misclassification_Count
KDDTest+,RANDOMFOREST,DoS,Normal,1652
KDDTest+,RANDOMFOREST,DoS,Probe,35
KDDTest+,RANDOMFOREST,Normal,DoS,66
KDDTest+,RANDOMFOREST,Normal,Probe,194
KDDTest+,RANDOMFOREST,Probe,DoS,223
KDDTest+,RANDOMFOREST,Probe,Normal,612
KDDTest+,RANDOMFOREST,Probe,R2L,1
KDDTest+,RANDOMFOREST,R2L,Normal,2665
KDDTest+,RANDOMFOREST,R2L,Probe,18
KDDTest+,RANDOMFOREST,U2R,Normal,61
KDDTest+,RANDOMFOREST,U2R,R2L,1
KDDTest-21,RANDOMFOREST,DoS,Normal,1652
KDDTest-21,RANDOMFOREST,DoS,Probe,26
KDDTest-21,RANDOMFOREST,Normal,DoS,66
KDDTest-21,RANDOMFOREST,Normal,Probe,194
KDDTest-21,RANDOMFOREST,Probe,DoS,223
KDDTest-21,RANDOMFOREST,Probe,Normal,612
KDDTest-21,RANDOMFOREST,Probe,R2L,1
KDDTest-21,RANDOMFOREST,R2L,Normal,2665
KDDTest-21,RANDOMFOREST,R2L,Probe,18
KDDTest-21,RANDOMFOREST,U2R,Normal,61
KDDTest-21,RANDOMFOREST,U2R,R2L,1
KDDTest+,SVM,DoS,Normal,1407
KDDTest+,SVM,DoS,Probe,28
KDDTest+,SVM,DoS,R2L,1
KDDTest+,SVM,Normal,DoS,461
KDDTest+,SVM,Normal,Probe,163
KDDTest+,SVM,Normal,R2L,5
KDDTest+,SVM,Probe,DoS,69
KDDTest+,SVM,Probe,Normal,838
KDDTest+,SVM,Probe,R2L,180
KDDTest+,SVM,Probe,U2R,3
KDDTest+,SVM,R2L,DoS,1
KDDTest+,SVM,R2L,Normal,2878
KDDTest+,SVM,U2R,Normal,66
KDDTest+,SVM,U2R,R2L,1
KDDTest-21,SVM,DoS,Normal,1406
KDDTest-21,SVM,DoS,Probe,27
KDDTest-21,SVM,DoS,R2L,1
KDDTest-21,SVM,Normal,DoS,459
KDDTest-21,SVM,Normal,Probe,162
KDDTest-21,SVM,Normal,R2L,5
KDDTest-21,SVM,Probe,DoS,67
KDDTest-21,SVM,Probe,Normal,838
KDDTest-21,SVM,Probe,R2L,179
KDDTest-21,SVM,Probe,U2R,3
KDDTest-21,SVM,R2L,DoS,1
KDDTest-21,SVM,R2L,Normal,2878
KDDTest-21,SVM,U2R,Normal,66
KDDTest-21,SVM,U2R,R2L,1
KDDTest+,XGBOOST,DoS,Normal,1331
KDDTest+,XGBOOST,DoS,Probe,184
KDDTest+,XGBOOST,Normal,DoS,67
KDDTest+,XGBOOST,Normal,Probe,201
KDDTest+,XGBOOST,Normal,R2L,1
KDDTest+,XGBOOST,Normal,U2R,1
KDDTest+,XGBOOST,Probe,DoS,163
KDDTest+,XGBOOST,Probe,Normal,759
KDDTest+,XGBOOST,R2L,Normal,2659
KDDTest+,XGBOOST,R2L,Probe,51
KDDTest+,XGBOOST,R2L,U2R,4
KDDTest+,XGBOOST,U2R,Normal,57
KDDTest-21,XGBOOST,DoS,Normal,1331
KDDTest-21,XGBOOST,DoS,Probe,184
KDDTest-21,XGBOOST,Normal,DoS,67
KDDTest-21,XGBOOST,Normal,Probe,201
KDDTest-21,XGBOOST,Normal,R2L,1
KDDTest-21,XGBOOST,Normal,U2R,1
KDDTest-21,XGBOOST,Probe,DoS,163
KDDTest-21,XGBOOST,Probe,Normal,759
KDDTest-21,XGBOOST,R2L,Normal,2659
KDDTest-21,XGBOOST,R2L,Probe,51
KDDTest-21,XGBOOST,R2L,U2R,4
KDDTest-21,XGBOOST,U2R,Normal,57
